id,date,company,department,so,contract_number,currency
67,2023-12-23,Societe Generale,Sales and Marketing,19,MC4917065905218572768536178,89546.87€
68,2023-01-11,Societe Generale,Public Relations,41,TR169926891529345109373168,-63914.81€
69,2022-10-24,Societe Generale,Asset Management,13,DO10811973672995428555966795,19095.49€
70,2023-10-29,Societe Generale,Public Relations,17,ES3566218453572825245351,61298.19€
71,2022-11-02,Societe Generale,Sales and Marketing,23,PK2153355300091094102954,-31382.99€
72,2022-10-26,Societe Generale,Customer Relations,11,SM8497234572368357387225232,-68740.35€
73,2023-09-27,Societe Generale,Tech Support,41,TR272184267945126585442112,-93585.15€
74,2023-06-09,Societe Generale,Customer Service,17,DE06677831561271702384,46723.55€
75,2022-10-15,Societe Generale,Tech Support,19,AE146822111682445522841,-3472.62€
76,2023-11-29,Societe Generale,Research and Development,19,HU22294105213850441816752276,-33607.54€
77,2023-06-13,Societe Generale,Finances,37,LT769305657496654665,50431.35€
78,2024-01-08,Societe Generale,Human Resources,43,LV57AIUJ7187386214178,19633.63€
79,2023-05-10,Societe Generale,Media Relations,19,IS723753346117880211791781,44014.90€
80,2023-12-30,Societe Generale,Quality Assurance,47,FI6043843668532180,61905.81€
81,2024-01-12,Societe Generale,Finances,13,AT984526253353681544,-78648.15€
82,2023-06-03,Societe Generale,Advertising,13,PT33768020337461888940876,-32052.31€
83,2023-08-08,Societe Generale,Accounting,11,BG02YPDU11977421522151,-64477.39€
84,2023-03-29,Societe Generale,Asset Management,23,IS167895266154465766788873,35999.70€
85,2022-11-17,Societe Generale,Legal Department,41,FO6418217433216507,-51578.65€
86,2023-12-06,Societe Generale,Customer Relations,17,NO3577188573910,2338.60€
87,2022-12-07,Societe Generale,Media Relations,11,BA475327788818651137,-52303.76€
88,2022-12-07,Societe Generale,Asset Management,31,GI68MIQX160906716591532,-98227.89€
89,2022-12-31,Societe Generale,Sales and Marketing,37,PS584557715905305058522618221,-16181.72€
90,2023-10-14,Societe Generale,Human Resources,43,PK0713686973314715723251,-12893.18€
91,2023-03-28,Societe Generale,Media Relations,43,IL114380573744573587509,-23105.85€
92,2023-02-19,Societe Generale,Customer Service,23,GT74011358611131285358551717,-26782.36€
93,2024-01-28,Societe Generale,Accounting,11,GR8967814157937777591611793,-84178.18€
94,2022-12-28,Societe Generale,Legal Department,13,AD1862842152737492934282,-68909.66€
95,2023-09-20,Societe Generale,Payroll,43,IT049IRXGI34138563446376565,-77717.35€
96,2023-09-27,Societe Generale,Payroll,43,IE39CWTM37735454424576,-47218.31€
97,2022-11-24,Societe Generale,Public Relations,23,KZ201132883577384408,78403.47€
98,2022-12-27,Societe Generale,Public Relations,23,ME28044416337726085302,-52242.31€
99,2023-02-21,Societe Generale,Advertising,17,LT743107051666185797,52224.35€
100,2023-02-15,Societe Generale,Human Resources,31,AT705635521850046220,13457.71€
101,2023-05-14,Societe Generale,Sales and Marketing,47,LV30JYLE6017577673672,-41096.30€
102,2023-03-22,Societe Generale,Tech Support,37,LU368384408105499147,43467.17€
103,2022-12-05,Societe Generale,Payroll,43,IE54KWFI93967044631697,-92822.91€
104,2023-11-14,Societe Generale,Payroll,41,FR9231658815534088457331216,44229.60€
105,2023-09-02,Societe Generale,Payroll,41,PL42176968485526571536867837,-59616.08€
106,2023-03-21,Societe Generale,Human Resources,43,SE4921767508176302486827,46541.55€
107,2023-03-25,Societe Generale,Customer Relations,11,LB84455234556307979283383961,72535.14€
108,2023-12-06,Societe Generale,Legal Department,41,AZ89188501324735052982635662,-79009.31€
109,2023-01-10,Societe Generale,Finances,41,AE958527577672514941695,-94914.73€
110,2024-01-11,Societe Generale,Advertising,29,CZ3624123856115253341142,52594.09€
111,2023-12-14,Societe Generale,Asset Management,11,HR2733814731458711121,-68721.94€
112,2023-11-08,Societe Generale,Legal Department,29,AZ21421114871587791857216863,48172.60€
113,2023-03-11,Societe Generale,Human Resources,47,LI7296626858759173776,-11527.25€
114,2023-05-15,Societe Generale,Tech Support,17,BE59432212695358,-35776.62€
115,2024-01-16,Societe Generale,Asset Management,23,LV84MDVN7859846414791,-4313.70€
116,2023-12-01,Societe Generale,Asset Management,47,BA023828477201854719,-76409.10€
117,2023-02-26,Societe Generale,Customer Service,11,GI71UQJE046348401081353,81713.14€
118,2023-01-01,Societe Generale,Advertising,13,HU13992557458088771529723981,-21011.15€
119,2023-08-04,Societe Generale,Advertising,19,CZ3423417575935147306302,45032.24€
120,2024-01-27,Societe Generale,Customer Relations,43,BG69VFWG99373618573563,75842.43€
121,2023-06-14,Societe Generale,Public Relations,23,CR2470468670671154553,-68520.54€
122,2023-01-08,Societe Generale,Sales and Marketing,13,TN9883385538584705398548,62919.83€
123,2022-12-17,Societe Generale,Accounting,37,ME33255628114415941680,-58072.69€
124,2022-10-02,Societe Generale,Asset Management,37,LU762279362842265713,20132.24€
125,2024-01-13,Societe Generale,Sales and Marketing,19,MT70MVDC32316616519151855689465,74684.39€
126,2023-04-17,Societe Generale,Customer Relations,43,MD6761836125966534587461,-29537.48€
127,2023-10-31,Societe Generale,Accounting,29,FR2814986848852800637746373,91648.06€
128,2023-02-14,Societe Generale,Payroll,47,LI0958410272287320580,-48690.77€
129,2023-01-05,Societe Generale,Legal Department,41,KZ503537224421746912,22635.85€
130,2023-07-15,Societe Generale,Customer Relations,29,SM9475041633305133672848666,9213.65€
131,2022-12-15,Societe Generale,Research and Development,19,IE23QBGV40721310570322,-57714.39€
132,2023-12-14,Societe Generale,Accounting,11,AD3643751076837171185712,-20789.72€
133,2023-11-23,Societe Generale,Human Resources,37,LI4780537451248223812,95990.64€
134,2023-07-29,Societe Generale,Quality Assurance,19,GB28IKPX10477884074285,-94313.85€
135,2023-11-28,Societe Generale,Customer Relations,41,PT31151202036805023531478,26273.59€
136,2022-11-15,Societe Generale,Legal Department,47,SE8206832285662553354152,56747.04€
137,2022-12-13,Societe Generale,Research and Development,23,SM6778438062545875314437476,70736.95€
138,2023-01-29,Societe Generale,Research and Development,19,BH45300991272289423329,85072.45€
139,2023-10-21,Societe Generale,Payroll,17,MR1421927268928863370287126,55092.86€
140,2023-12-21,Societe Generale,Payroll,13,ES2013956453229226148157,32995.00€
141,2023-03-09,Societe Generale,Customer Service,29,NO4777822339781,-40214.89€
142,2023-12-27,Societe Generale,Accounting,43,MT61SWXQ24643282101288835285495,-98620.27€
143,2022-12-18,Societe Generale,Tech Support,43,BG41RPUY76139125938436,-82581.01€
144,2023-01-06,Societe Generale,Legal Department,29,CR1685973834514183113,23712.50€
145,2023-06-06,Societe Generale,Sales and Marketing,11,NO5716047729066,70191.01€
146,2023-03-01,Societe Generale,Customer Relations,13,MT78UHIB64267575975429785154958,55478.63€
147,2023-07-20,Societe Generale,Asset Management,29,FI7619153845786222,-27982.01€
148,2023-03-07,Societe Generale,Human Resources,23,PK0785824193174419851431,-92393.17€
149,2023-08-16,Societe Generale,Tech Support,43,IE15XMJU99219198542723,10909.41€
150,2023-03-02,Societe Generale,Accounting,41,DE60560514694326646583,94403.06€
151,2023-03-02,Societe Generale,Accounting,41,DE60560514694326646583,-15054.77€
152,2023-12-24,Societe Generale,Media Relations,23,VG0865641598373456452126,95255.34€
153,2023-07-24,Societe Generale,Finances,29,GB08DHXO67821537165238,84302.97€
154,2023-07-24,Societe Generale,Finances,29,GB08DHXO67821537165238,150572.90€
155,2023-09-01,Societe Generale,Asset Management,29,BE20477760365551,-91058.97€
156,2023-02-02,Societe Generale,Public Relations,19,VG8781483187079240709078,-11821.92€
157,2023-10-12,Societe Generale,Research and Development,29,AD9594604724676405809881,16327.64€
158,2023-05-08,Societe Generale,Payroll,23,AE672051727183226271597,-1225.70€
159,2023-05-08,Societe Generale,Payroll,23,AE672051727183226271597,111899.77€
160,2023-06-13,Societe Generale,Human Resources,11,PL27894211089496832235146285,36333.23€
161,2023-02-05,Societe Generale,Sales and Marketing,29,NL66LZWX0741277116,18332.08€
162,2023-08-08,Societe Generale,Accounting,11,CZ4473414353533375322165,27258.39€
163,2023-02-06,Societe Generale,Payroll,43,EE974737563125843427,36177.58€
164,2023-02-06,Societe Generale,Payroll,43,EE974737563125843427,63996.72€
165,2023-07-25,Societe Generale,Legal Department,37,GR4531557225617476642627275,33894.75€
166,2023-05-26,Societe Generale,Tech Support,37,PL45968787818072116849939229,-47702.42€
167,2023-04-11,Societe Generale,Tech Support,13,DO87318296197885574838306244,-98136.00€
168,2023-05-13,Societe Generale,Customer Service,19,CY42638598580394851378144882,-89952.87€
169,2024-01-06,Societe Generale,Media Relations,17,SI26605682106472600,-66188.88€
170,2023-02-11,Societe Generale,Advertising,37,NL49VCXI8341741933,-19318.50€
171,2023-01-17,Societe Generale,Research and Development,29,HU61383264574495488158418235,89460.77€
172,2023-10-15,Societe Generale,Advertising,11,RS68383417473823448468,-4286.39€
173,2023-02-25,Societe Generale,Finances,17,BE76253866847313,-51679.02€
174,2023-07-04,Societe Generale,Asset Management,23,LB28383477317835071731461519,37375.02€
175,2023-03-18,Societe Generale,Accounting,41,FI6913869553550871,36540.92€
176,2022-12-03,Societe Generale,Legal Department,31,FR6296416386106374324626469,96797.13€
177,2023-01-16,Societe Generale,Public Relations,13,MC2582771720516373547844346,23229.40€
178,2022-12-01,Societe Generale,Tech Support,19,AE760596076973268178215,26173.54€
179,2023-02-20,Societe Generale,Quality Assurance,23,AE497541775137436568549,63895.15€
180,2023-05-11,Societe Generale,Quality Assurance,19,SI46770201316445671,70713.25€
181,2023-11-03,Societe Generale,Finances,37,AL68588574024571142424461633,-26629.15€
182,2023-07-27,Societe Generale,Asset Management,29,KZ174642178746091017,-82339.58€
183,2023-08-20,Societe Generale,Legal Department,23,GI17VHCL545242324995475,-66115.75€
184,2023-02-08,Societe Generale,Accounting,41,CZ1371227495433561342188,-98771.73€
185,2023-03-28,Societe Generale,Human Resources,41,TN7281722528523434829741,-20966.93€
186,2023-02-04,Societe Generale,Legal Department,11,IL577146248631187668877,47038.05€
187,2023-07-06,Societe Generale,Public Relations,29,DE87388555824646311934,-75295.31€
188,2023-11-27,Societe Generale,Sales and Marketing,13,FR0942273131461776276285630,46778.16€
189,2023-05-15,Societe Generale,Asset Management,17,KZ943865841484097202,-49352.34€
190,2023-07-02,Societe Generale,Research and Development,43,AE096907368725837273147,97879.93€
191,2023-03-30,Societe Generale,Asset Management,11,AE390383725922954374938,-19253.26€
192,2023-04-30,Societe Generale,Asset Management,23,PT64557413488405484317338,99622.90€
193,2023-06-05,Societe Generale,Human Resources,19,LV72UBPX2708538593764,-42331.80€
194,2023-05-12,Societe Generale,Research and Development,17,EE716434607889674453,39874.20€
195,2022-11-06,Societe Generale,Asset Management,19,FO7687882953814548,-29447.76€
196,2023-09-06,Societe Generale,Tech Support,37,NL32OGSA7017775262,59358.70€
197,2023-07-22,Societe Generale,Media Relations,11,AD3571231582996811143423,-5402.09€
198,2022-12-16,Societe Generale,Research and Development,13,IL116823423640533639264,62380.83€
199,2023-11-07,Societe Generale,Asset Management,19,LU675362678273241377,-6403.12€
200,2023-01-03,Societe Generale,Customer Service,11,SI24723549215423113,76193.03€
201,2023-10-10,Societe Generale,Media Relations,47,BA391551986169458895,18410.45€
202,2023-09-20,Societe Generale,Customer Relations,19,FO6643747733929502,52943.94€
203,2023-09-09,Societe Generale,Customer Service,29,LU583672174141726785,-65849.41€
204,2022-11-23,Societe Generale,Tech Support,29,DO62165851134561132276912732,-17201.91€
205,2023-12-10,Societe Generale,Human Resources,19,FI9024437401707639,21261.38€
206,2023-08-28,Societe Generale,Finances,19,GT20698798933421861695527131,-98434.81€
207,2023-08-20,Societe Generale,Research and Development,41,CH1825587184448666193,-40846.61€
208,2023-04-16,Societe Generale,Sales and Marketing,43,ME96514849154131841117,-75751.58€
209,2023-10-16,Societe Generale,Public Relations,43,BG49HLKM17687121981126,56416.10€
210,2023-05-30,Societe Generale,Payroll,23,DE30940135787122741917,-91385.65€
211,2022-11-08,Societe Generale,Advertising,13,EE763879442677157824,-51448.85€
212,2023-12-17,Societe Generale,Quality Assurance,19,IS560825673300562668395120,42987.14€
213,2023-03-23,Societe Generale,Finances,19,IT356IRSQI72228118365921823,-94154.37€
214,2023-01-25,Societe Generale,Public Relations,31,NL94BRUS2252061731,81000.05€
215,2023-01-04,Societe Generale,Human Resources,19,SI46206737821618649,-359.09€
216,2023-04-02,Societe Generale,Legal Department,19,IL305326118624059902786,38704.95€
217,2024-01-26,Societe Generale,Finances,23,AT868810695975725283,-52304.13€
218,2023-12-15,Societe Generale,Asset Management,19,NO0684043776765,72028.38€
219,2023-01-22,Societe Generale,Payroll,19,DK9322525950112354,25382.38€
220,2023-05-05,Societe Generale,Finances,41,BE52559784796584,-58047.50€
221,2022-11-04,Societe Generale,Finances,37,LI1915732317799843684,16829.13€
222,2023-05-12,Societe Generale,Tech Support,13,KZ586073316412412122,42956.16€
223,2024-01-01,Societe Generale,Tech Support,23,DO85631076764979583714764717,52805.42€
224,2023-06-15,Societe Generale,Sales and Marketing,19,AL64822170958304272271654541,24367.04€
225,2023-04-26,Societe Generale,Accounting,43,CZ3781688858309582968518,-29353.02€
226,2023-06-05,Societe Generale,Advertising,43,BH94133776632728818296,22073.11€
227,2023-02-04,Societe Generale,Accounting,17,FO1469369520395714,39959.87€
228,2023-05-18,Societe Generale,Media Relations,11,HU39288392924011327303773621,32857.07€
229,2023-10-20,Societe Generale,Tech Support,29,VG0371854455367638303499,-85022.23€
230,2023-09-09,Societe Generale,Quality Assurance,19,BH22710387830462071574,-88476.07€
231,2024-01-31,Societe Generale,Human Resources,37,IL423978739711788677321,-68574.16€
232,2023-01-29,Societe Generale,Asset Management,19,MD8131374705872138452385,-62512.64€
233,2023-08-02,Societe Generale,Sales and Marketing,47,AZ13781395426354488750163311,27992.12€
234,2023-05-17,Societe Generale,Legal Department,19,HU58772712515744879665227613,14492.66€
235,2023-09-04,Societe Generale,Customer Service,29,HR5844332163724074185,97957.13€
236,2023-09-05,Societe Generale,Media Relations,37,PT75661765713353361137182,-82762.04€
237,2023-07-21,Societe Generale,Advertising,19,SA7945798566147273150004,16730.08€
238,2023-04-07,Societe Generale,Media Relations,13,PT80022091767771361775898,-73245.70€
239,2023-12-23,Societe Generale,Sales and Marketing,43,IL164850197428887718188,73020.09€
240,2023-07-07,Societe Generale,Research and Development,43,MT11VFUU10621147298596633420968,66958.84€
241,2023-12-12,Societe Generale,Payroll,37,FR7946887623465426432755546,40420.76€
242,2022-11-23,Societe Generale,Legal Department,19,LU907632599114567838,65198.94€
243,2023-02-24,Societe Generale,Research and Development,19,EE810261341836226710,23627.33€
244,2023-05-25,Societe Generale,Customer Service,31,NL08BJOE1864228522,28380.87€
245,2023-11-04,Societe Generale,Finances,17,FR9305760234665586255063746,77292.99€
246,2023-02-21,Societe Generale,Public Relations,47,IL919972311584431652168,-94351.12€
247,2023-07-13,Societe Generale,Customer Relations,47,HR5227536491732118771,69509.75€
248,2023-09-28,Societe Generale,Tech Support,31,SK1203763798420574522734,57285.24€
249,2023-01-11,Societe Generale,Human Resources,17,GR1503353733141192543357446,27311.60€
250,2023-08-03,Societe Generale,Finances,23,MK65265955229946542,-65146.87€
251,2023-07-09,Societe Generale,Advertising,13,MC0699758293521263605238527,-52239.69€
252,2023-07-06,Societe Generale,Sales and Marketing,13,SI65119064668511251,52214.45€
253,2023-05-09,Societe Generale,Legal Department,11,PL41792774442128623831328815,16505.92€
254,2023-10-13,Societe Generale,Payroll,23,IL200321542963641241477,44145.77€
255,2023-10-06,Societe Generale,Customer Service,29,MU6376694564440434553265517251,50910.90€
256,2023-10-03,Societe Generale,Advertising,41,DK5385547683391865,-35624.02€
257,2023-04-09,Societe Generale,Customer Relations,17,ES0367635202933830010128,61391.93€
258,2023-10-19,Societe Generale,Customer Relations,19,LU124336227015535284,10221.39€
259,2024-01-07,Societe Generale,Accounting,47,LI8841737501395290155,-97340.39€
260,2024-01-12,Societe Generale,Asset Management,29,MK04234201289688317,5117.39€
261,2022-12-04,Societe Generale,Public Relations,13,GB73VFYW79649642751224,97971.43€
262,2023-06-21,Societe Generale,Sales and Marketing,41,AD0981677114883546738649,-34700.44€
263,2023-10-26,Societe Generale,Quality Assurance,23,SE9774823411354542112144,86706.43€
264,2022-10-10,Societe Generale,Payroll,41,TN2942379233386499640579,21463.61€
265,2023-02-14,Societe Generale,Finances,31,SA3833928554516066624603,-35587.21€
266,2023-01-10,Societe Generale,Public Relations,47,MR1377392585668644677238712,-42458.64€
267,2023-04-19,Societe Generale,Customer Relations,47,DE36715818205154212617,-40497.15€
268,2022-10-12,Societe Generale,Public Relations,43,MU8250731706358752772454365600,-30168.57€
269,2023-10-26,Societe Generale,Finances,13,TN5680967928985642248731,75696.71€
270,2022-11-07,Societe Generale,Legal Department,37,AZ39913665867718360007606941,29911.95€
271,2022-10-17,Societe Generale,Accounting,47,BG76IIMX24633124806835,56982.44€
272,2023-03-09,Societe Generale,Legal Department,23,FO7257015178029122,88829.94€
273,2023-06-29,Societe Generale,Media Relations,37,RO26CCLK1140393440571318,-35732.02€
274,2023-02-24,Societe Generale,Legal Department,31,MD7068289235978228278230,98327.14€
275,2023-07-30,Societe Generale,Human Resources,11,CR5953647011343763171,-42702.25€
276,2023-09-16,Societe Generale,Public Relations,29,NO9723534035862,64806.78€
277,2023-11-09,Societe Generale,Legal Department,17,AT523945341887554138,86064.95€
278,2024-01-04,Societe Generale,Human Resources,41,TR457252936228245169022485,92286.99€
279,2023-07-29,Societe Generale,Media Relations,23,AD2313254623454874702636,-63109.44€
280,2023-11-22,Societe Generale,Customer Relations,11,BH25557294563414050264,-43885.57€
281,2023-11-24,Societe Generale,Finances,41,CH8983555642498035883,8170.01€
282,2023-10-29,Societe Generale,Human Resources,47,PS866956601603131222114321784,80588.75€
283,2023-10-06,Societe Generale,Asset Management,29,GI60NGVQ187151473431866,4573.53€
284,2023-07-10,Societe Generale,Advertising,37,SI89158112710511535,-46766.64€
285,2023-09-12,Societe Generale,Tech Support,43,DK3533473237442133,-25987.90€
286,2023-07-30,Societe Generale,Research and Development,41,SM3099621528474625658630623,24424.92€
287,2023-12-30,Societe Generale,Human Resources,11,LI1715120817819316393,-32541.17€
288,2023-05-07,Societe Generale,Human Resources,47,LI8868831345927765612,81972.39€
289,2022-11-29,Societe Generale,Media Relations,43,GE42442559873242198299,63393.96€
290,2022-11-16,Societe Generale,Accounting,29,AT347786547418345567,-12087.82€
291,2022-11-22,Societe Generale,Asset Management,13,KW9748477181574408916849274898,80714.69€
292,2023-02-02,Societe Generale,Payroll,31,AT665546489579678395,69645.70€
293,2024-01-01,Societe Generale,Advertising,29,CH2883631842601004491,11464.83€
294,2022-12-27,Societe Generale,Public Relations,19,IE38REPE95320495815146,-84883.30€
295,2023-01-19,Societe Generale,Advertising,19,PS062268482346025178442248825,36200.86€
296,2023-10-07,Societe Generale,Research and Development,29,MT76AAKU63729017637933354598742,90371.16€
297,2023-07-03,Societe Generale,Sales and Marketing,29,EE182770506982783288,56977.62€
298,2022-11-10,Societe Generale,Advertising,47,GI90BMJC887645804988624,22190.23€
299,2023-12-05,Societe Generale,Media Relations,11,LB15432568588641641406166843,-73587.60€
300,2023-02-12,Societe Generale,Finances,29,FO4962128341913637,54764.43€
301,2024-01-04,Societe Generale,Asset Management,47,GT33983716767556011373817352,-88923.10€
302,2023-02-25,Societe Generale,Public Relations,19,IT107JHFPI22245467444317960,82831.72€
303,2023-06-09,Societe Generale,Legal Department,47,FO4511118213163843,-36318.21€
304,2023-03-28,Societe Generale,Media Relations,37,DE38104981987725113388,72578.18€
305,2023-07-16,Societe Generale,Sales and Marketing,43,FR2167556602714711147723463,55589.28€
306,2023-12-24,Societe Generale,Human Resources,19,MU6554505854103883967745893815,17337.00€
307,2023-03-01,Societe Generale,Asset Management,31,BG11UNBI55417529146912,29500.46€
308,2023-03-20,Societe Generale,Customer Relations,31,PT28081873869268431177115,14359.16€
309,2023-11-09,Societe Generale,Public Relations,41,GT84470193247234501568144687,-22221.94€
310,2023-11-01,Societe Generale,Customer Relations,23,FI1190443671365169,-62349.02€
311,2023-03-03,Societe Generale,Media Relations,43,EE923631804271964087,-97821.06€
312,2022-10-04,Societe Generale,Customer Service,17,GR3733362523332585826731316,-64764.64€
313,2024-01-16,Societe Generale,Human Resources,13,MK16888561325153697,1630.92€
314,2023-01-02,Societe Generale,Human Resources,41,MC3126986998740691363622835,-52653.68€
315,2023-05-07,Societe Generale,Advertising,37,AD7946728239162402233166,-22913.24€
316,2024-01-13,Societe Generale,Tech Support,37,FO6004294734496467,-26241.64€
317,2022-11-11,Societe Generale,Finances,47,VG3009503587505881553532,63529.54€
318,2023-04-04,Societe Generale,Finances,37,PS427136433649797501774416701,42117.55€
319,2023-08-27,Societe Generale,Tech Support,11,CZ7444546752356168547767,-51886.98€
320,2023-05-27,Societe Generale,Accounting,29,AE955261282486777621518,-36308.94€
321,2023-07-09,Societe Generale,Accounting,47,MC5824979614433840751388156,82530.89€
322,2023-12-16,Societe Generale,Public Relations,37,VG8793450231766548171512,60003.29€
323,2023-03-24,Societe Generale,Tech Support,43,GL3164820469160541,-3765.76€
324,2023-03-19,Societe Generale,Research and Development,31,LI8736154692542151363,-5724.10€
325,2023-04-01,Societe Generale,Media Relations,31,FR6797872821013555624824188,-80666.21€
326,2023-05-16,Societe Generale,Research and Development,29,AZ97113956738922462425149532,84938.35€
327,2023-06-12,Societe Generale,Customer Service,41,CH3975270163437166617,-63812.71€
328,2023-02-03,Societe Generale,Tech Support,43,SK4979333344641136647511,-95714.30€
329,2023-05-11,Societe Generale,Quality Assurance,37,PK5788363681874476244217,-47549.61€
330,2023-11-19,Societe Generale,Human Resources,17,SE8673734699111579307955,-18686.27€
331,2022-11-23,Societe Generale,Customer Relations,29,EE786061893515949237,-42232.08€
332,2023-09-02,Societe Generale,Finances,23,BG47JFKO92866847833666,-746.53€
333,2023-07-31,Societe Generale,Asset Management,37,CR5352450373925866887,25957.88€
334,2024-01-03,Societe Generale,Human Resources,13,RS60118684538687669712,7546.08€
335,2023-06-28,Societe Generale,Legal Department,37,LU628407161741418333,28649.25€
336,2023-11-08,Societe Generale,Legal Department,31,BH59015937425763635651,43743.15€
337,2023-10-26,Societe Generale,Public Relations,43,RO42LKCS4619218168162132,68242.47€
